EventName,StartDate,EventType,BookingReference,AttendeeReference,GroupSize,IsLeadAttendee,AttendeeGrossCost,EventId,BookingStatus,AttendeeType,TicketType,StatusCreatedDate,ClientId,Season,days_to_event,weeks
Neoliberalism. the Family. and Bourgeois Domesticity I,10/12/2021,Seminar,B953419,A1021430,1,TRUE,0,24077,Attending,Attendee,Standard,05/03/2021,219,Winter,280,40
Queer Homemaking I,22/10/2021,Reading Group,B954541,A1022562,1,TRUE,0,24071,Attending,Attendee,Standard,08/03/2021,219,Autumn,228,32.57142857
Neoliberalism. the Family. and Bourgeois Domesticity I,10/12/2021,Seminar,B956238,A1024268,1,TRUE,0,24077,Attending,Attendee,Standard,10/03/2021,219,Winter,275,39.28571429
Queer Homemaking I,22/10/2021,Reading Group,B959604,A1027663,1,TRUE,0,24071,Attending,Attendee,Standard,16/03/2021,219,Autumn,220,31.42857143
Neoliberalism. the Family. and Bourgeois Domesticity I,10/12/2021,Seminar,B959608,A1027667,1,TRUE,0,24077,Attending,Attendee,Standard,16/03/2021,219,Winter,269,38.42857143
Neoliberalism. the Family. and Bourgeois Domesticity I,10/12/2021,Seminar,B967598,A1035704,1,TRUE,0,24077,Attending,Attendee,Standard,12/04/2021,219,Winter,242,34.57142857
Queer Homemaking II,19/11/2021,Seminar,B972756,A1040883,1,TRUE,0,24075,Attending,Attendee,Standard,21/04/2021,219,Autumn,212,30.28571429
Neoliberalism. the Family. and Bourgeois Domesticity II,21/01/2022,Seminar,B972760,A1040887,1,TRUE,0,24078,Attending,Attendee,Standard,21/04/2021,219,Winter,275,39.28571429
Financial Technology - Challenges for the Law - Seminar and  Book Launch,03/09/2021,,B977104,A1045245,1,TRUE,0,24371,Attending,Attendee,Standard,02/05/2021,219,Autumn,124,17.71428571
Financial Technology - Challenges for the Law - Seminar and  Book Launch,03/09/2021,,B977116,A1045257,1,TRUE,0,24371,Attending,Attendee,Standard,02/05/2021,219,Autumn,124,17.71428571
